id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.281156,2373400258,58,2373427986,65279785,0.29621,0.277675,-0.013438188463543,-4.56159,-110888024.86156654,-4.46357,8440362945.635515,8440461552.826346,10000000000.0,3.56,-92.11368,2019-06-20T14:51:19.480Z,0.087513,220.91492,2023-09-11T19:42:08.247Z,,2025-02-16T10:19:39.872Z,-0.8828515830342927,usd,-88.28515830342927
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,3.42,2166598628,59,6709897914,81073835,3.5,3.37,-0.06875892652191817,-1.96979,-39521345.07253504,-1.79144,632756875.0,1959631092.0,1959631092.0,236.84,-98.558,2021-04-01T13:29:41.564Z,2.64,29.31731,2022-12-16T22:45:28.552Z,,2025-02-16T10:19:28.410Z,,,
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.83,2108486097,60,2108486097,88438001,4.97,4.74,-0.09237790369864651,-1.87622,-39419373.96536875,-1.83525,436427577.790971,436427577.790971,,44.45,-89.12869,2022-01-17T00:34:41.497Z,1.16,316.53758,2020-03-13T02:27:44.591Z,,2025-02-16T10:19:29.185Z,47.31239372415176,usd,4731.239372415176
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.482944,2097672032,61,4829047871,102684036,0.487239,0.471992,-0.002545042669056419,-0.52422,-12867745.436504364,-0.60969,4343862574.0,10000000000.0,10000000000.0,2.39,-79.83703,2024-01-12T12:29:59.231Z,0.38247,26.01046,2025-02-03T02:11:02.489Z,,2025-02-16T10:19:38.677Z,,,
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.998926,2088725157,62,2088725157,2582516413,1.001,0.996727,0.00021503,0.02153,216530.0,0.01037,2091015488.484293,2091015488.484293,,1.15,-13.19438,2025-02-03T02:30:49.959Z,0.940377,6.27877,2024-12-05T22:30:51.394Z,,2025-02-16T10:19:28.833Z,,,
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.800217,2084532284,63,2172183857,101796250,0.79793,0.758746,0.0259112,3.34638,68101534.0,3.37733,2604959126.672,2714493896.672,2714493896.672,3.45,-76.99225,2024-03-28T17:21:18.050Z,0.00816959,9627.80348,2020-03-13T02:24:18.347Z,,2025-02-16T10:19:28.174Z,8.22972188371675,usd,822.9721883716749
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,97405.0,1943839659,64,1943839659,635390,98286.0,96443.0,556.52,0.57463,12312200.0,0.63743,19960.11314099,19960.11314099,,114576.0,-14.98099,2025-02-04T01:47:44.052Z,52119.0,86.90005,2024-09-06T21:01:52.094Z,,2025-02-16T10:19:30.903Z,,,
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,3.93,1689255722,65,3427511598,49601902,3.94,3.93,-0.003390862515412429,-0.08615,203110.0,0.01203,429147094.6,870742437.0,1000000000.0,4.0,-1.37648,2025-02-12T17:00:32.861Z,0.398142,890.19723,2023-01-21T10:15:39.503Z,,2025-02-16T10:19:28.129Z,,,
sonic-3,s,Sonic (prev. FTM),https://coin-images.coingecko.com/coins/images/38108/large/200x200_Sonic_Logo.png?1734679256,0.519548,1649346525,66,1649346525,74583858,0.538693,0.509249,-0.017695057192506303,-3.29368,-58012886.99753308,-3.39781,3175000000.0,3175000000.0,,1.029,-49.81233,2025-01-04T21:35:44.705Z,0.359647,43.65973,2025-02-03T02:11:37.229Z,,2025-02-16T10:19:40.061Z,,,
lido-dao,ldo,Lido DAO,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,1.83,1638339104,68,1826815661,104791451,1.84,1.77,-0.008202298549657705,-0.44736,-10868677.427237988,-0.65902,896827818.47191,1000000000.0,1000000000.0,7.3,-75.03512,2021-08-20T08:35:20.158Z,0.40615,348.88687,2022-06-18T20:55:12.035Z,,2025-02-16T10:19:31.140Z,,,
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,2697.04,1631712935,67,1631712935,39699173,2719.98,2677.99,-4.7560710771281265,-0.17603,140709.0,0.00862,604999.999959841,604999.999959841,,4098.26,-34.0422,2024-12-06T20:27:27.286Z,2171.8,24.46464,2024-09-06T21:02:52.910Z,,2025-02-16T10:19:39.096Z,,,
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,3.07,1627270246,69,3394386552,47984765,3.15,3.01,-0.05205908634420453,-1.66509,-26081679.1918509,-1.5775,528782678.434452,1103008438.355835,,20.85,-85.28545,2024-02-10T14:30:02.495Z,2.08,47.25763,2023-10-31T15:14:31.951Z,,2025-02-16T10:19:38.774Z,,,
binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,200.25,1561597971,70,1561597971,2916884,203.07,199.35,-1.2371857614378996,-0.61402,-5209810.557871819,-0.33251,7798103.051957107,7798103.051957107,,297.96,-32.74358,2025-01-19T11:30:53.744Z,127.32,57.39345,2024-09-18T15:30:14.531Z,,2025-02-16T10:19:37.465Z,,,
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,2803.63,1557502978,71,1557502978,4182499,2814.83,2779.81,5.74,0.20504,4473424.0,0.28804,555420.7806926193,555420.7806926193,,4216.2,-33.45016,2024-12-06T20:31:16.142Z,2069.62,35.57419,2024-01-23T14:25:53.609Z,,2025-02-16T10:19:30.088Z,,,
xdce-crowd-sale,xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.098341,1542873877,72,3734258678,20886428,0.101604,0.097527,-0.003181074717852839,-3.13338,-50636557.591635704,-3.17767,15689016567.15,37972544066.25,,0.192754,-49.01287,2021-08-21T04:39:48.324Z,0.00039532,24760.94406,2019-07-22T00:00:00.000Z,,2025-02-16T10:19:29.509Z,3.8347809701801316,eth,383.47809701801316
optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.14,1535956301,73,4880364861,84980004,1.15,1.11,-0.006044121183074624,-0.52873,-10060963.181893349,-0.65077,1351719035.0,4294967296.0,4294967296.0,4.84,-76.60166,2024-03-06T08:35:50.817Z,0.402159,181.8507,2022-06-18T20:54:52.178Z,,2025-02-16T10:19:35.428Z,,,
raydium,ray,Raydium,https://coin-images.coingecko.com/coins/images/13928/large/PSigc4ie_400x400.jpg?1696513668,5.18,1507914354,74,2877235894,76510835,5.46,5.1,-0.2677035631114295,-4.91251,-77472420.48191547,-4.88666,290866823.959339,555000000.0,555000000.0,16.83,-69.17746,2021-09-12T20:20:23.998Z,0.134391,3760.60705,2022-12-29T22:15:53.927Z,,2025-02-16T10:19:39.103Z,,,
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,15.31,1499255470,76,1534122698,79107818,15.38,14.85,0.04269943,0.27961,4127459.0,0.27606,97727220.33,100000000.0,,52.62,-71.03902,2024-03-14T15:06:22.124Z,0.657401,2218.13814,2020-11-03T16:19:30.576Z,,2025-02-16T10:19:30.936Z,,,
kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,12.22,1498438761,75,1742868386,54612,12.32,12.14,-0.018624868768226225,-0.15216,687103.0,0.04588,122606967.8513356,142606967.8513356,,28.83,-57.61467,2021-12-01T15:09:35.541Z,0.342863,3464.00114,2019-02-07T00:00:00.000Z,,2025-02-16T10:19:30.568Z,,,
solv-btc,solvbtc,Solv Protocol SolvBTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,96697.0,1457418655,77,1457678932,3943641,97631.0,96630.0,-321.60096805976355,-0.33148,89478550.0,6.54112,14991.67882612759,14994.35615434597,21000000.0,108929.0,-11.15793,2025-01-20T07:17:19.296Z,49058.0,97.26738,2024-08-05T06:28:45.311Z,,2025-02-16T10:19:39.531Z,,,
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,0.956598,1447683799,78,1447683799,36136075,0.967922,0.925266,-0.007128625520754883,-0.73969,-9219785.501819134,-0.63283,1513342210.23683,1513342210.23683,1818000000.0,3.86,-75.38038,2024-04-01T12:34:58.342Z,0.04559639,1986.52822,2020-03-13T02:29:26.415Z,,2025-02-16T10:19:38.180Z,6.971646168955015,usd,697.1646168955015
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.457457,1431625300,79,6864936506,118743123,0.468824,0.445782,-0.003674485287288198,-0.79684,-13687771.32506442,-0.94705,3128125000.0,15000000000.0,,1.52,-69.9496,2024-04-11T13:15:15.057Z,0.195078,133.7914,2024-09-06T21:04:48.253Z,,2025-02-16T10:19:27.801Z,,,
immutable-x,imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,0.810906,1413017682,80,1620618672,27426566,0.813322,0.78396,0.00066578,0.08217,-6288881.87948513,-0.4431,1743800322.3898141,2000000000.0,2000000000.0,9.52,-91.5195,2021-11-26T01:03:01.536Z,0.378055,113.55063,2022-12-31T07:36:37.649Z,,2025-02-16T10:19:36.944Z,,,
quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,96.29,1400384460,81,1406962339,18677590,96.65,93.1,0.372952,0.38884,4908605.0,0.35175,14544176.164091088,14612493.0,14612493.0,427.42,-77.42716,2021-09-11T09:15:00.668Z,0.215773,44614.23384,2018-08-23T00:00:00.000Z,,2025-02-16T10:19:38.528Z,14.306600356992824,eth,1430.6600356992824
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,1.788e-05,1382222988,82,1589992486,69299112,1.844e-05,1.775e-05,-4.39717745022e-07,-2.40008,-34559506.92926216,-2.4393,77256568003302.38,88869425288367.11,88869425288367.11,5.825e-05,-69.28891,2024-11-20T04:01:06.465Z,8.6142e-08,20667.06372,2022-12-29T22:48:46.755Z,,2025-02-16T10:19:39.059Z,,,
theta-token,theta,Theta Network,https://coin-images.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,1.38,1375624480,83,1375624480,14045394,1.4,1.35,-0.014675422449050624,-1.05556,-15100453.630074024,-1.0858,1000000000.0,1000000000.0,1000000000.0,15.72,-91.26094,2021-04-16T13:15:11.190Z,0.04039979,3300.40373,2020-03-13T02:24:16.483Z,,2025-02-16T10:19:27.748Z,8.170829863752546,usd,817.0829863752547
nexo,nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1.36,1355958361,84,1355958361,8069832,1.38,1.35,-0.00491769230146577,-0.36136,-4261553.246407032,-0.3133,1000000000.0,1000000000.0,1000000000.0,4.07,-66.72933,2021-05-12T14:37:47.535Z,0.04515276,2897.47101,2018-09-13T00:00:00.000Z,,2025-02-16T10:19:34.440Z,12.55958361219871,usd,1255.958361219871
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,3034.27,1354114344,85,1354114344,8972892,3046.77,3007.88,4.97,0.16423,-995491.4019224644,-0.07346,446252.6739018442,446252.6739018442,,4814.31,-37.11586,2021-12-01T08:03:50.749Z,887.26,241.21067,2022-06-18T20:55:45.957Z,,2025-02-16T10:19:38.735Z,,,
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.141496,1351263854,86,1526668292,36193022,0.141518,0.136578,0.00100612,0.71615,7378839.0,0.54907,9548531509.16547,10788004319.0,10788004319.0,2.84,-95.04486,2021-02-12T07:28:45.775Z,0.052051,170.50508,2022-11-22T10:05:03.503Z,,2025-02-16T10:19:28.779Z,,,
movement,move,Movement,https://coin-images.coingecko.com/coins/images/39345/large/movement-testnet-token.png?1721878759,0.558398,1339830608,87,5582627535,61366282,0.570957,0.546885,-0.007946794238124832,-1.40317,-18789877.252354145,-1.38301,2400000000.0,10000000000.0,10000000000.0,1.45,-61.57062,2024-12-10T04:05:51.093Z,0.497641,11.96251,2025-02-10T02:30:26.108Z,,2025-02-16T10:19:33.977Z,,,
flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.02162289,1277378138,88,2228964384,10789160,0.02293448,0.02131743,-0.000165922534497494,-0.7615,-7446099.121878147,-0.57954,59038219807.19565,103018898907.8337,,0.150073,-85.59808,2023-01-10T03:14:05.921Z,0.00827405,161.21889,2023-10-19T03:35:41.663Z,,2025-02-16T10:19:28.082Z,,,
worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,1.24,1273219159,89,12445184404,103493837,1.27,1.22,-0.013890830741940086,-1.10417,-11265225.189737558,-0.87702,1023061705.945783,10000000000.0,10000000000.0,11.74,-89.42472,2024-03-10T00:10:42.330Z,0.973104,27.59207,2023-09-13T07:36:44.064Z,,2025-02-16T10:19:30.131Z,,,
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,2857.71,1262513956,90,1262513956,4443773,2871.65,2832.81,4.62,0.16179,3478292.0,0.27627,441629.3854766905,441629.3854766905,,4729.53,-39.55884,2024-03-27T05:26:27.333Z,2142.02,33.45283,2023-12-18T10:41:32.686Z,,2025-02-16T10:19:30.977Z,,,
usual-usd,usd0,Usual USD,https://coin-images.coingecko.com/coins/images/38272/large/USD0LOGO.png?1716962811,0.996932,1137273434,91,1137273434,4069414,1.002,0.995744,-0.000190355400066733,-0.01909,-819102.2875337601,-0.07197,1140857382.250318,1140857382.250318,,1.33,-24.79435,2024-07-12T08:28:59.311Z,0.976415,2.10836,2025-01-20T17:07:15.786Z,,2025-02-16T10:19:37.763Z,,,
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.240512,1121672217,92,2408313939,35480000,0.240991,0.234182,0.00212927,0.89321,10860464.0,0.97771,4657499999.0,10000000000.0,,1.14,-78.89139,2024-03-16T02:30:23.904Z,0.095364,152.27467,2023-10-19T08:05:30.655Z,,2025-02-16T10:19:39.416Z,,,
jasmycoin,jasmy,JasmyCoin,https://coin-images.coingecko.com/coins/images/13876/large/JASMY200x200.jpg?1696513620,0.02243317,1083423330,93,1118776673,35019328,0.02316724,0.02200558,-0.000412144479255989,-1.80407,-22822031.71670246,-2.06302,48419999999.3058,50000000000.0,50000000000.0,4.79,-99.53413,2021-02-16T03:53:32.207Z,0.00275026,711.397,2022-12-29T20:41:09.113Z,,2025-02-16T10:19:31.057Z,,,
solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,https://coin-images.coingecko.com/coins/images/39384/large/unnamed.png?1721961640,95960.0,1019678217,94,1019678217,2458032,100452.0,95819.0,-108.14480539374927,-0.11257,-902076.6706227064,-0.08839,10626.09014519966,10626.09014519966,21000000.0,117077.0,-17.9605,2025-01-20T07:15:49.114Z,11402.13,742.37811,2024-09-10T17:58:43.974Z,,2025-02-16T10:19:39.731Z,,,
gala,gala,GALA,https://coin-images.coingecko.com/coins/images/12493/large/GALA_token_image_-_200PNG.png?1709725869,0.02344186,1010309159,95,1010309165,70334242,0.02460016,0.02308256,-0.001071391733838155,-4.37066,-48024181.25990307,-4.53772,43064691373.9406,43064691628.5515,50000000000.0,0.824837,-97.15763,2021-11-26T01:03:48.731Z,0.00013475,17298.88732,2020-12-28T08:46:48.367Z,,2025-02-16T10:19:28.450Z,,,
dexe,dexe,DeXe,https://coin-images.coingecko.com/coins/images/12713/large/DEXE_token_logo.png?1696512514,17.51,999815571,96,1689674663,7352595,18.42,17.34,-0.5348024641364582,-2.96434,-32139151.940888286,-3.1144,57103774.56313077,96504599.33609451,,32.38,-45.75913,2021-03-08T13:29:57.935Z,0.671563,2515.34731,2020-11-06T19:31:40.144Z,,2025-02-16T10:19:40.016Z,,,
msol,msol,Marinade Staked SOL,https://coin-images.coingecko.com/coins/images/17752/large/mSOL.png?1696517278,245.6,984597370,97,984597370,13985794,248.28,243.9,-0.49725414616531793,-0.20206,7064673.0,0.7227,4008027.0,4008027.0,4008027.0,363.77,-32.61029,2025-01-19T11:26:02.862Z,8.93,2645.09504,2022-12-29T20:45:33.039Z,,2025-02-16T10:19:34.051Z,,,
the-sandbox,sand,The Sandbox,https://coin-images.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1696511971,0.400261,979481938,98,1201397164,54337393,0.405591,0.390471,-0.003270888300839769,-0.81056,-7409775.294168115,-0.75082,2445857126.2233224,3000000000.0,3000000000.0,8.4,-95.2391,2021-11-25T06:04:40.957Z,0.02897764,1279.55665,2020-11-04T15:59:14.441Z,,2025-02-16T10:19:28.962Z,,,
eos,eos,EOS,https://coin-images.coingecko.com/coins/images/738/large/CG_EOS_Icon.png?1731705232,0.643596,976240372,99,1351522175,63185154,0.663107,0.635057,-0.010393628878567762,-1.58927,-15974261.040295243,-1.60996,1516885789.1746,2100000000.0,2100000000.0,22.71,-97.16376,2018-04-29T07:50:33.540Z,0.402746,59.93888,2024-11-04T21:55:59.771Z,,2025-02-16T10:19:28.279Z,-0.3499030633177065,usd,-34.99030633177065
floki,floki,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,9.647e-05,934128325,100,965790800,88171783,9.89e-05,9.545e-05,-1.90669297878e-06,-1.93808,-19954852.1904732,-2.09152,9672160115342.0,10000000000000.0,10000000000000.0,0.00034495,-72.03461,2024-06-05T07:25:59.137Z,8.428e-08,114359.74256,2021-07-06T01:11:20.438Z,,2025-02-16T10:19:29.574Z,,,
