id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.345811,10586363538,15,17291250206,174627645,0.358432,0.343854,-0.0094031125512275,-2.64717,-283451987.891346,-2.6077,30613002951.61005,50001786894.45016,50001786894.45016,0.875563,-60.40109,2018-01-03T00:00:00.000Z,0.00047612,72720.07909,2015-03-05T00:00:00.000Z,,2025-02-16T10:19:38.845Z,,,
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,25.4,10508543829,16,11440113298,206174971,26.26,25.19,-0.779307372747418,-2.97729,-286707452.6661205,-2.65587,413649150.7042933,450318638.473774,720000000.0,144.96,-82.47964,2021-11-21T14:18:56.538Z,2.8,806.71723,2020-12-31T13:15:21.540Z,,2025-02-16T10:19:38.139Z,,,
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.38,10458378558,17,33849092809,590236075,3.48,3.35,-0.07131885003133664,-2.06477,-210774554.7799797,-1.97555,3089707194.508888,10000000000.0,10000000000.0,5.35,-36.69802,2025-01-04T22:56:18.063Z,0.364846,827.64619,2023-10-19T10:40:30.078Z,,2025-02-16T10:19:37.444Z,,,
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,132.4,10002520885,18,10002520885,1376243876,136.6,129.78,0.201036,0.15207,30933240.0,0.31021,75538608.23347135,75538608.23347135,84000000.0,410.26,-67.69721,2021-05-10T03:13:07.904Z,1.15,11435.55704,2015-01-14T00:00:00.000Z,,2025-02-16T10:19:31.457Z,,,
ugold-inc,ugold,UGOLD Inc.,https://coin-images.coingecko.com/coins/images/35921/large/IMG_20240307_195222_084.jpg?1710221205,3038.58,9772585960,19,9772585960,13098317,3042.92,3038.35,-1.0319456334486858,-0.03395,9772585960.0,0.0,3215075.0,3215075.0,3215075.0,3055.67,-0.49887,2025-02-14T10:01:05.918Z,1998.42,52.14154,2025-02-03T14:05:07.157Z,,2025-02-16T10:19:28.014Z,,,
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.623e-05,9566254231,20,9570367513,170853329,1.672e-05,1.606e-05,-4.02775372246e-07,-2.42135,-231700546.10290527,-2.36478,589253878014101.1,589507244414751.8,,8.616e-05,-81.14241,2021-10-28T03:54:55.568Z,5.6366e-11,28824645.56848,2020-11-28T11:26:25.838Z,,2025-02-16T10:19:27.433Z,,,
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.81,9505663237,21,19520600018,113033006,3.81,3.74,0.03509203,0.92937,88032450.0,0.93476,2494398792.671954,5122437004.638338,,8.25,-53.85061,2024-06-15T00:36:51.509Z,0.519364,633.39517,2021-09-21T00:33:11.092Z,,2025-02-16T10:19:29.918Z,,,
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.22622,9449377355,22,11311012443,193702235,0.236818,0.223474,-0.008837595929836406,-3.75975,-364494378.01306534,-3.71407,41770696489.76343,50000000000.0,50000000000.0,0.569229,-60.25068,2021-09-15T10:40:28.318Z,0.00986111,2194.51491,2020-01-02T17:30:24.852Z,,2025-02-16T10:19:29.566Z,,,
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.8,9054103912,23,9652895564,301659,9.81,9.75,0.00983922,0.10053,10697175.0,0.11829,924122796.9,985239504.0,,9.95,-1.33024,2025-02-09T22:45:42.188Z,0.799859,1126.82485,2019-12-24T15:14:35.376Z,,2025-02-16T10:19:30.914Z,,,
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,26.36,8802215569,24,26359353645,90407881,26.58,25.36,0.099198,0.37775,35373070.0,0.40349,333928180.0,999990391.0,1000000000.0,34.96,-24.49428,2024-12-22T03:56:00.276Z,3.81,593.045,2024-11-29T09:30:30.871Z,,2025-02-16T10:19:29.417Z,,,
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999881,8744955317,25,8744955317,11849907,1.001,0.998016,-0.000430136823754257,-0.043,54297133.0,0.62478,8746018805.66756,8746018805.66756,,1.057,-5.43667,2024-10-29T05:40:51.197Z,0.948265,5.43876,2024-10-03T13:19:28.826Z,,2025-02-16T10:19:30.393Z,,,
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2705.94,8096516280,26,8096516280,424892158,2717.43,2681.49,7.21,0.26703,17183209.0,0.21268,2992128.069338183,2992128.069338183,,4799.89,-43.61567,2021-11-09T00:00:00.000Z,82.1,3196.31576,2018-12-15T00:00:00.000Z,,2025-02-16T10:19:31.476Z,,,
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.98,7583923314,27,7583923314,135324224,5.12,4.91,-0.06957783609494239,-1.37773,-101745414.5304308,-1.32383,1522267060.0,1522267060.0,,54.98,-90.9659,2021-11-04T14:10:09.301Z,2.7,84.13754,2020-08-20T05:48:11.359Z,,2025-02-16T10:19:39.552Z,,,
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,7.59,7365950164,28,13694478174,460085642,7.67,7.4,0.148701,1.99908,132582688.0,1.83293,972540787.7099998,1808108702.09,,7.9,-4.19078,2025-02-15T05:21:27.737Z,0.01726188,43742.35469,2023-10-12T17:25:09.068Z,,2025-02-16T10:19:31.482Z,,,
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,334.35,6628940058,29,6628961996,93450258,341.83,331.04,-6.491739633240627,-1.90463,-127811500.59960651,-1.89161,19830037.39665078,19830103.02165078,21000000.0,3785.82,-91.15968,2017-12-20T00:00:00.000Z,76.93,335.01592,2018-12-16T00:00:00.000Z,,2025-02-16T10:19:39.066Z,,,
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.99931,5964184132,30,5964184132,70304797,1.001,0.998537,-0.000283105143379148,-0.02832,-19957595.16057396,-0.33351,5968476701.765498,5968476701.765498,,1.032,-3.14284,2023-12-20T15:38:34.596Z,0.929486,7.54819,2024-10-04T07:57:15.809Z,,2025-02-16T10:19:27.456Z,,,
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,9.92,5956188474,31,9918994780,152005110,9.96,9.73,0.0346648,0.3508,20154536.0,0.33953,600483073.71,1000000000.0,1000000000.0,44.92,-77.96211,2021-05-03T05:25:04.822Z,1.03,860.9077,2020-09-17T01:20:38.214Z,,2025-02-16T10:19:31.669Z,,,
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.92,5906426640,32,5906426640,220529235,5.32,4.82,-0.3792037561149044,-7.14997,-455557904.99532604,-7.16063,1199999994.2,1199999994.2,2000000000.0,8.45,-41.76947,2024-12-27T11:41:24.992Z,0.0142795,34359.66416,2020-06-25T04:17:05.895Z,,2025-02-16T10:19:38.017Z,,,
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2867.33,5472977904,33,5472977904,18073048,2877.26,2841.71,7.57,0.26453,22796089.0,0.41826,1909155.396537115,1909155.396537115,,4311.81,-33.51224,2024-12-06T20:32:25.758Z,2231.18,28.48952,2024-01-08T03:35:28.624Z,,2025-02-16T10:19:29.538Z,,,
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,231.16,4264104635,34,4264104635,52626396,237.23,227.94,-3.7332829118074358,-1.58937,-70415694.26114655,-1.62453,18446744.07370955,18446744.07370955,,542.33,-57.39582,2018-01-09T00:00:00.000Z,0.216177,106781.71749,2015-01-14T00:00:00.000Z,,2025-02-16T10:19:33.688Z,,,
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,9.95e-06,4189185199,35,4189185199,370412608,1.016e-05,9.82e-06,-1.61574437554e-07,-1.59754,-66424375.245863914,-1.56087,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-64.47915,2024-12-09T16:30:35.828Z,5.5142e-08,17954.80468,2023-04-18T02:14:41.591Z,,2025-02-16T10:19:36.792Z,,,
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,3.45,4087052713,36,4262717046,144449203,3.52,3.37,-0.03591287270425125,-1.031,-46415010.8484931,-1.12291,1184710613.0,1235630289.0,,20.44,-83.18186,2022-01-16T22:09:45.873Z,0.526762,552.53544,2020-11-04T16:09:15.137Z,,2025-02-16T10:19:34.391Z,,,
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,1.27,4024961276,37,12740817585,166519421,1.31,1.26,-0.02484199293344247,-1.91424,-74655823.29273224,-1.82104,3159107529.0,10000000000.0,10000000000.0,2.14,-40.55411,2024-12-16T00:36:00.777Z,0.082171,1448.2775,2024-01-18T12:14:30.524Z,,2025-02-16T10:19:35.148Z,,,
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,27.13,3912603137,38,8998385377,9554641,27.43,27.1,0.0195717,0.0722,7539412.0,0.19307,144118517.10815412,331450421.0,400000000.0,29.08,-6.5916,2025-01-23T14:52:15.951Z,3.06,787.08428,2023-02-13T19:01:21.899Z,,2025-02-16T10:19:39.401Z,,,
